caseidx,d0,d1a,d1b,d1c,d2,d3,d4,d5,d6,d7,d8,d9,d10,b1a,b1aa,b1b,b2a,b2b,b3a,b3b,b4a,b4b,b5a,b5b,b6a,b6b,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,ga,gb1,gb2,gb3,gb4,gb5,gb6,gb7,gb8,gb9a,gb9b,cr1,cr2,ct1,ct1a,ct1b,ct2,ct2a,ct2b,c1,c2,e1,e2,e3,e4,e5,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,g1,g2,callern,caller_id,supern,team_no,dateinterviewstart,dateinterviewend,interview_start_time,interview_end_time,caller_phone_number,name_of_respondent,phone_number_of_respondent,treatment_status,interviewn_result,number_of_calls
40906,243675255,RECODE,ASOFAA,1,Male,Akan,Yes,52,Middle,7,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,80,Agree,80,Agree,80,Agree,90,Agree,95,Spouse,60,100,No,Yes,No,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,4,10,,0,0,150,100,250,100,20,110,0,Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,106,,10,1102020,1102020,213928,215356,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),3
26113,547514368,RECODE,ASOFAA,1,Female,Ga-Dangme,No,45,Primary,8,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Myself,42,150,Yes,Yes,No,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,18,10,,0,0,250,180,0,0,0,0,0,Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,106,,10,1102020,1102020,201733,212144,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
32803,548632057,RECODE,ASOFAA,1,Male,Mande,Yes,54,Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102020,,212245,,,PII,PII,1,Yes (if call went through and the potential respondent answered),3
41313,244246886,RECODE,ASOFAA,1,Male,Akan,Yes,68,Middle,4,No,Formal sector,501 - 1000,Yes,I trust completely,I completely believe,Agree,95,Agree,95,Agree,95,Agree,95,Agree,95,Myself,0,750,No,No,No,No,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,5,5,,0,0,250,150,150,0,100,100,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,106,,10,1102020,1102020,220016,222826,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
30211,243430440,RECODE,ASOFAA,1,Female,Ga-Dangme,Yes,31,Primary,8,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,95,Agree,95,Agree,95,Agree,95,Agree,95,Myself,30,150,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,5,2,,0,5,250,150,100,0,0,0,0,Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),Sometimes(1-2 times in 7 days),Never(less than 1 time in 7 days),PII,106,,10,1102020,1102020,202550,204602,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),2
41802,206775521,RECODE,ASOFAA,1,Female,Akan,No,69,Middle,8,No,Neither(I do Nothing),< 500,Yes,I trust completely,I completely believe,Agree,95,Agree,95,Agree,95,Agree,95,Agree,95,"Other family members(specify mother, father, siblings, extended relatives)",35,150,No,Yes,No,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,7,15,,0,0,250,300,75,400,40,60,0,Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,106,,10,1102020,1102020,224340,225556,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
35010,246824290,RECODE,ASOFAA,1,Male,Ewe,Yes,50,Middle,6,Yes,Neither(I do Nothing),< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Spouse,5,0,No,No,No,Yes,No,No,Yes,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,20,10,,0,0,30,30,0,10,0,30,0,None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,82045,84105,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
32801,246443475,RECODE,ASOFAA,1,Male,Ewe,Yes,66,Middle,6,No,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,95,Agree,95,Agree,95,Agree,95,Agree,95,"Other family members(specify mother, father, siblings, extended relatives)",10,0,No,No,No,Yes,No,Yes,Yes,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,,15,35,,3,15,160,45,0,36,0,421,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,Most of the time (5-6 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,120840,122605,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
31408,246050053,RECODE,ASOFAA,1,Male,Ewe,Yes,53,Middle,2,Yes,Informal sector,501 - 1000,Yes,I trust completely,I completely believe,Agree,85,Agree,85,Agree,95,Agree,95,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",8,100,No,No,No,Yes,No,Yes,Yes,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,13,10,,0,0,60,90,0,25,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),All of the time (7 times in 7 days,Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,131604,132750,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
35114,540297865,RECODE,ASOFAA,1,Female,Ewe,Yes,54,Primary,4,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Myself,12,0,Yes,Yes,Yes,Yes,No,No,Yes,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,7,5,,0,0,50,150,0,25,0,30,0,Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,55207,61245,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
35104,246871035,RECODE,ASOFAA,1,Male,Ewe,Yes,49,SSS/SHS,6,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,50,Agree,50,Agree,20,Agree,50,Agree,70,Spouse,8,100,Yes,No,No,Yes,No,Yes,Yes,No,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,,20,10,,1,20,45,25,0,10,0,12,0,A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,61621,64247,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
32206,209415914,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,40,Primary,6,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,85,Agree,95,Agree,95,Agree,95,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",6,180,No,No,No,Yes,No,No,No,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,6,10,,0,0,0,50,0,15,0,0,0,A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,123512,124534,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
33210,249425005,RECODE,ASOFAA,1,Male,Akan,Yes,47,Tertiary - Bachelor?s Degree,9,Yes,Formal sector,1001 - 1500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",10,0,No,No,No,No,No,Yes,Yes,Yes,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,50,10,,0,0,0,50,0,20,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,115356,120257,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
33410,246115212,RECODE,ASOFAA,1,Male,Ewe,Yes,52,Primary,3,Yes,Informal sector,< 500,Yes,I don't trust at all,I somewhat believe,Agree,65,Agree,100,Agree,100,Agree,100,Agree,100,Myself,2,0,No,No,No,Yes,No,No,Yes,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,,30,45,,0,0,60,250,0,30,0,22,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),All of the time (7 times in 7 days,Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,112559,114538,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
33712,246024280,RECODE,ASOFAA,1,Male,Ewe,Yes,48,Primary,4,Yes,Informal sector,501 - 1000,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Spouse,8,200,No,No,No,Yes,No,No,No,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,7,5,,0,0,40,50,0,7,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,6102020,110611,84555,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),2
33510,544680342,RECODE,ASOFAA,1,Female,Akan,Yes,62,Middle,4,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",8,150,No,No,No,Yes,No,Yes,Yes,Yes,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,4,5,,0,0,0,180,20,25,0,0,0,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,110952,112307,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
33207,541888220,RECODE,ASOFAA,1,Male,Mole-Dagbani,No,21,JSS/JHS,1,No,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Myself,13,50,No,No,Yes,Yes,No,No,No,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,,5,1,,0,0,0,50,0,5,0,2,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,6102020,120432,81654,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
33803,542956630,RECODE,ASOFAA,1,Male,Ewe,Yes,58,Middle,6,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Spouse,5,0,No,No,No,No,No,No,Yes,No,"Food insecurity[i.e., lack of consistent access to enough food going forward]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,10,10,,0,0,80,20,200,10,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,105024,110409,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
32401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PII,103,,10,2102020,6102020,122846,85619,.p,PII,PII,2,Refused,2
33108,242983856,RECODE,ASOFAA,1,Male,Ewe,Yes,69,Middle,8,Yes,Informal sector,> 2000,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",4,0,No,No,No,No,No,No,Yes,No,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",Yes,No,No,No,No,No,No,No,No,No,No,No,No,,20,10,,0,0,100,300,5,25,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,6102020,120652,122600,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),2
33402,543018276,RECODE,ASOFAA,1,Male,Ewe,Yes,41,JSS/JHS,7,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,90,Agree,95,Agree,95,Agree,95,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",8,350,No,No,No,No,No,No,Yes,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,No,No,No,No,No,No,No,No,No,No,No,,45,30,,0,0,0,100,300,20,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,103,,10,2102020,2102020,114718,130509,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
92907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PII,113,,11,1102020,1102020,165829,165838,.p,PII,PII,1,Wrong phone numebr,2
93310,201394202,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,45,Nursery,12,No,Informal sector,< 500,Yes,I trust completely,I somewhat believe,Agree,40,Agree,40,Agree,50,Agree,100,Agree,100,Spouse,84,0,No,No,Yes,Yes,No,Yes,Yes,Yes,"Food insecurity[i.e., lack of consistent access to enough food going forward]",Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,,5,20,,0,0,45,0,0,0,0,0,0,Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,113,,11,1102020,1102020,155435,162006,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),1
92805,546506649,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,30,Nursery,7,Yes,Informal sector,< 500,Yes,I don't trust at all,I don't believe,Disagree,10,Disagree,10,Agree,100,Disagree,30,Agree,100,Spouse,0,0,Yes,No,No,Yes,No,Yes,Yes,No,"Food insecurity[i.e., lack of consistent access to enough food going forward]",Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,0,0,,0,0,0,0,150,100,150,100,0,Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Sometimes(1-2 times in 7 days),Sometimes(1-2 times in 7 days),PII,113,,11,1102020,1102020,164244,165530,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
96406,203783579,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,35,JSS/JHS,9,Yes,Informal sector,< 500,Yes,I somewhat trust,I somewhat believe,Agree,10,Agree,10,Agree,100,Agree,100,Agree,50,Myself,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,,8,2,,0,0,0,0,0,0,0,0,0,Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),All of the time (7 times in 7 days,A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,113,,11,1102020,3102020,150128,185715,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),1
92110,202244868,RECODE,ASOFAA,1,Male,Akan,Yes,45,SSS/SHS,5,Yes,Informal sector,501 - 1000,Yes,I moderately trust,I moderately believe,Agree,50,Agree,20,Agree,100,Agree,100,Agree,80,Spouse,0,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,,20,5,,1,5,0,0,0,0,0,0,0,Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),All of the time (7 times in 7 days,A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,113,,11,1102020,1102020,165949,170124,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),7
